"","TaxonName","CommonName","FleetGearName","bycatch","destruction","TaxonKey","FunctionalGroupDescription","fish_type"
"753","Lampris guttatus","Opah","Gillnet","high","non-destructive",601072,"Large bathypelagics (>=90 cm)","pelagic"
"754","Lates calcarifer","Barramundi","Gillnet","high","non-destructive",600346,"Large demersals (>=90 cm)","demersal"
"755","Farfantepenaeus californiensis","Yellowleg shrimp","Trawl","high","destructive",690444,"Shrimps","demersal"
"756","Clams cockles arkshells","Clams cockles arkshells","Dredge","high","destructive",NA,NA,"demersal"
"757","Panulirus","Tropical spiny lobsters","Trap","high","non-destructive",590083,"Lobsters, crabs","demersal"
"758","Saurida tumbil","Greater lizardfish","Trap","high","non-destructive",606479,"Medium demersals (30 - 89 cm)","demersal"
"759","Synodontidae","Lizardfishes","Trap","high","non-destructive",400160,"Medium demersals (30 - 89 cm)","demersal"
"760","Ruditapes decussatus","Grooved carpet shell","Dredge","high","destructive",690166,"Other demersal invertebrates","demersal"
"761","Pleuronectes platessa","European plaice","Gillnet","high","non-destructive",601342,"Large flatfishes (>=90 cm)","demersal"
"762","Macrourus berglax","Onion-eye grenadier","Lines Non-tuna","low","non-destructive",600331,"Large benthopelagics (>=90 cm)","pelagic"
"763","Pellona ditchela","Indian pellona","Gillnet","high","non-destructive",601641,"Small pelagics (<30 cm)","pelagic"
"764","Genypterus blacodes","Pink cusk-eel","Trawl","high","destructive",600482,"Large bathydemersals (>=90 cm)","demersal"
"765","Osmeridae","Smelts","Gillnet","high","non-destructive",400080,"Small pelagics (<30 cm)","pelagic"
"766","Sparus aurata","Gilthead seabream","Trawl","high","destructive",601164,"Medium demersals (30 - 89 cm)","demersal"
"767","Ammodytidae","Sand lances","Trawl","high","destructive",400402,"Large reef assoc. fish (>=90 cm)","demersal"
"768","Molva","Lings","Lines Non-tuna","low","non-destructive",501096,"Large demersals (>=90 cm)","demersal"
"769","Stolephorus","Indo-Pacific anchovies","Trawl","high","destructive",507720,"Small pelagics (<30 cm)","demersal"
"770","Thunnus alalunga","Albacore","Trawl midwater","high","non-destructive",600142,"Large pelagics (>=90 cm)","pelagic"
"771","Galeoides decadactylus","Lesser African threadfin","Lines Non-tuna","low","non-destructive",600341,"Medium demersals (30 - 89 cm)","demersal"
"772","Pandalidae","Norther shrimps","Trawl","high","destructive",490046,"Shrimps","demersal"
"773","Scorpaeniformes","Scorpionfishes and flatheads","Trawl","high","destructive",300059,"Medium demersals (30 - 89 cm)","demersal"
"774","Modiolus","Horse mussels","Dredge","high","destructive",590116,"Other demersal invertebrates","demersal"
"775","Herklotsichthys quadrimaculatus","Bluestripe herring","Gillnet","high","non-destructive",601494,"Small pelagics (<30 cm)","pelagic"
"776","Centropomus undecimalis","Common snook","Other","low","non-destructive",600345,"Large demersals (>=90 cm)","demersal"
"777","Brevoortia patronus","Gulf menhaden","Purse seine Non-tuna","low","non-destructive",601589,"Medium pelagics (30 - 89 cm)","pelagic"
"778","Merluccius gayi gayi","South Pacific hake","Trawl","high","destructive",600324,"Medium bathydemersals (30 - 89 cm)","demersal"
"779","Scombroids","Tunas bonitos billfishes","Purse seine Tuna","low","non-destructive",NA,NA,"pelagic"
"780","Squatinidae","Angel sharks","Gillnet","high","non-destructive",400015,"Large sharks (>=90 cm)","pelagic"
"781","Gerres","Silver biddies","Gillnet","high","non-destructive",501055,"Small benthopelagics (<30 cm)","pelagic"
"782","Labrus bergylta","Ballan wrasse","Other","low","non-destructive",600572,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"783","Pagellus","Pandoras","Trawl","high","destructive",501145,"Medium benthopelagics (30 - 89 cm)","demersal"
"784","Dissostichus mawsoni","Antarctic toothfish","Lines Non-tuna","low","non-destructive",607039,"Large benthopelagics (>=90 cm)","pelagic"
"785","Dentex dentex","Common dentex","Trawl","high","destructive",600439,"Large benthopelagics (>=90 cm)","demersal"
"786","Dissostichus eleginoides","Patagonian toothfish","Lines Non-tuna","low","non-destructive",600467,"Large bathydemersals (>=90 cm)","demersal"
"787","Mycteroperca","Cat groupers","Lines Non-tuna","low","non-destructive",503028,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"788","Scorpaena","Scorpionfish","Gillnet","high","non-destructive",500134,"Large reef assoc. fish (>=90 cm)","pelagic"
"789","Selar crumenophthalmus","Bigeye scad","Purse seine Non-tuna","low","non-destructive",600387,"Medium pelagics (30 - 89 cm)","pelagic"
"790","Spratelloides gracilis","Silverstriped round herring","Trawl","high","destructive",601458,"Small pelagics (<30 cm)","demersal"
"791","Seriolella porosa","Choicy ruff","Trawl","high","destructive",608390,"Medium benthopelagics (30 - 89 cm)","demersal"
"792","Illex argentinus","Argentine shortfin squid","Trawl","high","destructive",690023,"Cephalopods","demersal"
"793","Gadus morhua","Atlantic cod","Longline Non-tuna","high","non-destructive",600069,"Large benthopelagics (>=90 cm)","pelagic"
"794","Macruronus novaezelandiae","Blue grenadier","Trawl","high","destructive",601825,"Large demersals (>=90 cm)","demersal"
"795","Chloroscombrus chrysurus","Atlantic bumper","Gillnet","high","non-destructive",600385,"Medium pelagics (30 - 89 cm)","pelagic"
"796","Megabalanus psittacus","Giant barnacle","Dredge","high","destructive",690613,"Other demersal invertebrates","demersal"
"797","Arctoscopus japonicus","Sailfin sandfish","Lines Non-tuna","low","non-destructive",600463,"Small bathydemersals (<30 cm)","demersal"
"798","Mycteroperca xenarcha","Broomtail grouper","Lines Non-tuna","low","non-destructive",603334,"Large demersals (>=90 cm)","demersal"
"799","Parapenaeopsis","Shrimps","Trawl","high","destructive",590094,"Shrimps","demersal"
"800","Chloroscombrus chrysurus","Atlantic bumper","Purse seine Non-tuna","low","non-destructive",600385,"Medium pelagics (30 - 89 cm)","pelagic"
"801","Selene dorsalis","African moonfish","Gillnet","high","non-destructive",600379,"Small demersals (<30 cm)","demersal"
"802","Fenneropenaeus chinensis","Fleshy prawn","Trawl","high","destructive",690133,"Shrimps","demersal"
"803","Farfantepenaeus paulensis","Sao Paulo shrimp","Trawl","high","destructive",690338,"Shrimps","demersal"
"804","Sphyraena jello","Pickhandle barracuda","Gillnet","high","non-destructive",604827,"Large reef assoc. fish (>=90 cm)","pelagic"
"805","Polyprion oxygeneios","Hapuka","Longline Non-tuna","high","non-destructive",600350,"Large demersals (>=90 cm)","demersal"
"806","Ommastrephidae","Arrow squids","Gillnet","high","non-destructive",490004,"Cephalopods","pelagic"
"807","Dicentrarchus","European/spotted seabass","Seine","high","non-destructive",502682,"Large demersals (>=90 cm)","demersal"
"808","Osmerus eperlanus","European smelt","Purse seine Non-tuna","low","non-destructive",601334,"Medium pelagics (30 - 89 cm)","pelagic"
"809","Lateolabrax japonicus","Japanese seaperch","Gillnet","high","non-destructive",604589,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"810","Engraulis anchoita","Argentine anchoita","Gillnet","high","non-destructive",601659,"Small pelagics (<30 cm)","pelagic"
"811","Centropomus undecimalis","Common snook","Trawl midwater","high","non-destructive",600345,"Large demersals (>=90 cm)","pelagic"
"812","Belonidae","Needlefishes","Lines Non-tuna","low","non-destructive",400207,"Medium pelagics (30 - 89 cm)","pelagic"
"813","Saurida undosquamis","Brushtooth lizardfish","Gillnet","high","non-destructive",601055,"Medium demersals (30 - 89 cm)","demersal"
"814","Leiostomus xanthurus","Spot croaker","Seine","high","non-destructive",600429,"Medium demersals (30 - 89 cm)","demersal"
"815","Seriolella","Barrelfishes","Pole and Line Tuna","low","non-destructive",502004,"Medium benthopelagics (30 - 89 cm)","pelagic"
"816","Sphoeroides","Puffers","Gillnet","high","non-destructive",509125,"Large reef assoc. fish (>=90 cm)","pelagic"
"817","Cephalopholis hemistiktos","Yellowfin hind","Other","low","non-destructive",606447,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"818","Archosargus probatocephalus","Sheepshead seabream","Trawl midwater","high","non-destructive",600441,"Medium demersals (30 - 89 cm)","pelagic"
"819","Atheresthes stomias","Arrowtooth flounder","Lines Non-tuna","low","non-destructive",600517,"Small to medium flatfishes (<90 cm)","demersal"
"820","Pleuroncodes planipes","Pelagic red crab","Trap","high","non-destructive",690625,"Lobsters, crabs","demersal"
"821","Lutjanus griseus","Grey snapper","Gillnet","high","non-destructive",600266,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"822","Lithodes","Lithodes","Trawl","high","destructive",590070,"Lobsters, crabs","demersal"
"823","Marine fishes not identified","Marine fishes","Purse seine Non-tuna","low","non-destructive",100039,"Medium demersals (30 - 89 cm)","pelagic"
"824","Antimora rostrata","Blue antimora","Trawl","high","destructive",602005,"Medium bathypelagics (30 - 89 cm)","demersal"
"825","Pagellus bogaraveo","Blackspot seabream","Trawl midwater","high","non-destructive",600890,"Medium benthopelagics (30 - 89 cm)","pelagic"
"826","Macrourus","Grenadiers","Trawl midwater","high","non-destructive",500327,"Medium benthopelagics (30 - 89 cm)","pelagic"
"827","Pseudopleuronectes americanus","Winter flounder","Gillnet","high","non-destructive",600524,"Small to medium flatfishes (<90 cm)","demersal"
"828","Sargocentron spiniferum","Sabre squirrelfish","Other","low","non-destructive",606507,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"829","Lutjanus synagris","Lane snapper","Lines Non-tuna","low","non-destructive",600181,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"830","Pomadasys incisus","Bastard grunt","Lines Non-tuna","low","non-destructive",605003,"Medium demersals (30 - 89 cm)","demersal"
"831","Chloroscombrus chrysurus","Atlantic bumper","Trawl midwater","high","non-destructive",600385,"Medium pelagics (30 - 89 cm)","pelagic"
"832","Umbrina cirrosa","Shi drum","Gillnet","high","non-destructive",601306,"Medium demersals (30 - 89 cm)","demersal"
"833","Rastrelliger","Indo-Pacific mackerels","Trawl midwater","high","non-destructive",505469,"Medium pelagics (30 - 89 cm)","pelagic"
"834","Acanthopagrus latus","Yellowfin seabream","Lines Non-tuna","low","non-destructive",606356,"Medium demersals (30 - 89 cm)","demersal"
"835","Pleuronectiformes","Flatfishes","Lines Non-tuna","low","non-destructive",300061,"Small to medium flatfishes (<90 cm)","demersal"
"836","Centrophorus granulosus","Gulper shark","Trawl","high","destructive",600648,"Large sharks (>=90 cm)","demersal"
"837","Merluccius hubbsi","Argentine hake","Trawl midwater","high","non-destructive",600325,"Medium benthopelagics (30 - 89 cm)","pelagic"
"838","Epinephelus marginatus","Dusky grouper","Lines Non-tuna","low","non-destructive",606470,"Large reef assoc. fish (>=90 cm)","pelagic"
"839","Todarodes sagittatus","European flying squid","Lines Non-tuna","low","non-destructive",690124,"Cephalopods","pelagic"
"840","Oncorhynchus masou masou","Cherry salmon","Gillnet","high","non-destructive",600242,"Medium benthopelagics (30 - 89 cm)","pelagic"
"841","Micropogonias undulatus","Atlantic croaker","Seine","high","non-destructive",600408,"Medium demersals (30 - 89 cm)","demersal"
"842","Sepiidae","Cuttlefishes","Trawl","high","destructive",490011,"Cephalopods","demersal"
"843","Sphyraena barracuda","Great barracuda","Purse seine Non-tuna","low","non-destructive",601235,"Large pelagics (>=90 cm)","pelagic"
"844","Auxis","Frigate tuna","Gillnet","high","non-destructive",501163,"Medium pelagics (30 - 89 cm)","pelagic"
"845","Raja microocellata","Small-eyed ray","Trawl","high","destructive",605492,"Small to medium rays (<90 cm)","demersal"
"846","Sebastes entomelas","Widow rockfish","Trawl","high","destructive",600502,"Medium pelagics (30 - 89 cm)","demersal"
"847","Scyliorhinus","Lesser catsharks","Gillnet","high","non-destructive",500814,"Large sharks (>=90 cm)","pelagic"
"848","Trisopterus esmarkii","Norway pout","Trawl midwater","high","non-destructive",601023,"Medium benthopelagics (30 - 89 cm)","pelagic"
"849","Venus (=Chamelea) gallina","Striped venus","Dredge","high","destructive",NA,NA,"demersal"
"850","Caranx","Jacks","Lines Non-tuna","low","non-destructive",500467,"Large pelagics (>=90 cm)","pelagic"
"851","Scyliorhinus stellaris","Nursehound","Lines Non-tuna","low","non-destructive",600854,"Large sharks (>=90 cm)","pelagic"
"852","Polydactylus quadrifilis","Giant African threadfin","Trawl","high","destructive",605002,"Large demersals (>=90 cm)","demersal"
"853","Macrodon ancylodon","King weakfish","Trawl","high","destructive",600417,"Medium demersals (30 - 89 cm)","demersal"
"854","Loligo pealeii","Longfin squid","Trawl","high","destructive",NA,NA,"demersal"
"855","Antimora rostrata","Blue antimora","Lines Non-tuna","low","non-destructive",602005,"Medium bathypelagics (30 - 89 cm)","pelagic"
"856","Polynemidae","Threadfins","Lines Non-tuna","low","non-destructive",400361,"Small demersals (<30 cm)","demersal"
"857","Aulacomya ater","Cholga mussel","Dredge","high","destructive",690081,"Other demersal invertebrates","demersal"
"858","Concholepas concholepas","False abalone","Dredge","high","destructive",690127,"Other demersal invertebrates","demersal"
"859","Gempylidae","Snake mackerels","Trawl midwater","high","non-destructive",400414,"Large benthopelagics (>=90 cm)","pelagic"
"860","Clupeidae","Herrings shads sardines menhadens","Lines Non-tuna","low","non-destructive",400043,"Small pelagics (<30 cm)","pelagic"
"861","Seriolella","Barrelfishes","Gillnet","high","non-destructive",502004,"Medium benthopelagics (30 - 89 cm)","pelagic"
"862","Inermiidae","Bonnetmouths","Gillnet","high","non-destructive",400479,"Small pelagics (<30 cm)","pelagic"
"863","Micropogonias","Western croakers","Trawl","high","destructive",501327,"Medium demersals (30 - 89 cm)","demersal"
"864","Exocoetidae","Flyingfishes","Trap","high","non-destructive",400206,"Small pelagics (<30 cm)","demersal"
"865","Chelidonichthys lucerna","Tub gurnard","Gillnet","high","non-destructive",601366,"Medium demersals (30 - 89 cm)","demersal"
"866","Ophidiidae","Cusk-eels","Trawl","high","destructive",400186,"Large bathydemersals (>=90 cm)","demersal"
"867","Salmo","Salmon and trout","Seine","high","non-destructive",500136,"Large demersals (>=90 cm)","demersal"
"868","Girella tricuspidata","Luderick","Purse seine Non-tuna","low","non-destructive",608173,"Medium benthopelagics (30 - 89 cm)","pelagic"
"869","Gadiformes","Cods","Trawl midwater","high","non-destructive",300044,"Large bathypelagics (>=90 cm)","pelagic"
"870","Atheresthes stomias","Arrowtooth flounder","Longline Non-tuna","high","non-destructive",600517,"Small to medium flatfishes (<90 cm)","demersal"
"871","Pagrus auratus","Squirefish","Trawl","high","destructive",606426,"Large demersals (>=90 cm)","demersal"
"872","Dentex angolensis","Angola dentex","Trawl midwater","high","non-destructive",600440,"Small demersals (<30 cm)","pelagic"
"873","Salmonidae","Salmonids","Gillnet","high","non-destructive",400076,"Large benthopelagics (>=90 cm)","pelagic"
"874","King crabs squat-lobsters","Craylets squat lobsters","Trap","high","non-destructive",NA,NA,"demersal"
"875","Salmo","Salmon and trout","Lines Non-tuna","low","non-destructive",500136,"Large demersals (>=90 cm)","demersal"
"876","Aristeidae","Aristeid shrimps","Trawl","high","destructive",490042,"Shrimps","demersal"
"877","Parastromateus niger","Black pomfret","Trawl","high","destructive",601947,"Medium benthopelagics (30 - 89 cm)","demersal"
"878","Nemadactylus","Porae","Trawl","high","destructive",501523,"Medium demersals (30 - 89 cm)","demersal"
"879","Arctoscopus japonicus","Sailfin sandfish","Gillnet","high","non-destructive",600463,"Small bathydemersals (<30 cm)","demersal"
"880","Penaeus semisulcatus","Green tiger prawn","Trawl","high","destructive",690163,"Shrimps","demersal"
"881","Thunnus alalunga","Albacore","Purse seine Tuna","low","non-destructive",600142,"Large pelagics (>=90 cm)","pelagic"
"882","Perna viridis","Brown mussel","Other","low","non-destructive",690060,"Other demersal invertebrates","demersal"
"883","Gobionotothen gibberifrons","Humped rockcod","Trawl","high","destructive",607041,"Medium demersals (30 - 89 cm)","demersal"
"884","Psettodes belcheri","Spottail spiny turbot","Longline Non-tuna","high","non-destructive",604504,"Small to medium flatfishes (<90 cm)","demersal"
"885","Harpadon nehereus","Bombay duck","Gillnet","high","non-destructive",600260,"Medium benthopelagics (30 - 89 cm)","pelagic"
"886","Centroscyllium fabricii","Black dogfish","Trawl","high","destructive",600656,"Small to medium sharks (<90 cm)","demersal"
"887","Scatophagus","Scats","Lines Non-tuna","low","non-destructive",501242,"Medium demersals (30 - 89 cm)","demersal"
"888","Trisopterus luscus","Pouting","Trawl","high","destructive",601367,"Medium benthopelagics (30 - 89 cm)","demersal"
"889","Scomberoides","Queenfishes","Gillnet","high","non-destructive",500468,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"890","Nototodarus sloanii","Wellington flying squid","Lines Non-tuna","low","non-destructive",690430,"Cephalopods","pelagic"
"891","Mallotus villosus","Capelin","Purse seine Non-tuna","low","non-destructive",600252,"Small pelagics (<30 cm)","pelagic"
"892","Sepiida","Cuttlefishes","Lines Non-tuna","low","non-destructive",390006,"Cephalopods","pelagic"
"893","Littorina littorea","Common periwinkle","Other","low","non-destructive",690089,"Other demersal invertebrates","demersal"
"894","Jasus frontalis","Juan Fernandez rock lobster","Trap","high","non-destructive",690205,"Lobsters, crabs","demersal"
"895","Patella","Limpets","Other","low","non-destructive",590242,"Other demersal invertebrates","demersal"
"896","Cilus gilberti","Corvina","Lines Non-tuna","low","non-destructive",626675,"Medium demersals (30 - 89 cm)","pelagic"
"897","Leiognathidae","Slimys slipmouths or ponyfishes","Trawl","high","destructive",400318,"Small benthopelagics (<30 cm)","demersal"
"898","Murex","Murex shells","Other","low","non-destructive",590050,"Other demersal invertebrates","demersal"
"899","Diplodus cervinus cervinus","Zebra seabream","Trawl midwater","high","non-destructive",602497,"Medium benthopelagics (30 - 89 cm)","pelagic"
"900","Pollicipes pollicipes","Barnacle","Dredge","high","destructive",690043,"Other demersal invertebrates","demersal"
"901","Spisula","Surf clam","Other","low","non-destructive",590146,"Other demersal invertebrates","demersal"
"902","Geryon","Deepsea crabs","Gillnet","high","non-destructive",590067,"Lobsters, crabs","demersal"
"903","Pristidae","Sawfishes","Gillnet","high","non-destructive",400016,"Large rays (>=90 cm)","pelagic"
"904","Mullus barbatus barbatus","Red mullet","Lines Non-tuna","low","non-destructive",600790,"Medium demersals (30 - 89 cm)","demersal"
"905","Heterocarpus reedi","Chilean nylon shrimp","Trawl","high","destructive",690077,"Shrimps","demersal"
"906","Crassostrea","Cupped oysters","Other","low","non-destructive",590014,"Other demersal invertebrates","demersal"
"907","Chirocentrus nudus","Whitefin wolf-herring","Lines Non-tuna","low","non-destructive",601452,"Large pelagics (>=90 cm)","pelagic"
"908","Bathyraja","Skates","Trawl","high","destructive",508611,"Small to medium rays (<90 cm)","demersal"
"909","Priacanthus","Bigeyes","Trawl midwater","high","non-destructive",500912,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"910","Alosa","Shads","Gillnet","high","non-destructive",500352,"Medium pelagics (30 - 89 cm)","pelagic"
"911","Pandalus","Pandalus shrimps","Trawl","high","destructive",590093,"Shrimps","demersal"
"912","Diplodus argenteus argenteus","South American silver porgy","Trawl","high","destructive",603574,"Medium demersals (30 - 89 cm)","demersal"
"913","Morone saxatilis","Striped sea-bass","Gillnet","high","non-destructive",600353,"Large demersals (>=90 cm)","demersal"
"914","Pleuronectidae","Righteye flounders","Longline Non-tuna","high","non-destructive",400440,"Small to medium flatfishes (<90 cm)","demersal"
"915","Loligo opalescens","California market squid","Lines Non-tuna","low","non-destructive",690658,"Cephalopods","pelagic"
"916","Mustelus asterias","Starry smooth-hound","Trawl","high","destructive",605938,"Large sharks (>=90 cm)","demersal"
"917","Cilus gilberti","Corvina","Gillnet","high","non-destructive",626675,"Medium demersals (30 - 89 cm)","pelagic"
"918","Mustelus mustelus","Smooth-hound","Trawl","high","destructive",604996,"Large sharks (>=90 cm)","demersal"
"919","Gadus ogac","Greenland cod","Trawl","high","destructive",600309,"Medium demersals (30 - 89 cm)","demersal"
"920","Galeoides decadactylus","Lesser African threadfin","Trawl","high","destructive",600341,"Medium demersals (30 - 89 cm)","demersal"
"921","Centroberyx affinis","Redfish","Purse seine Non-tuna","low","non-destructive",614129,"Medium benthopelagics (30 - 89 cm)","pelagic"
"922","Mugil","Grey mullets","Trap","high","non-destructive",500152,"Medium demersals (30 - 89 cm)","demersal"
"923","Lithodes","Lithodes","Seine","high","non-destructive",590070,"Lobsters, crabs","demersal"
"924","Anarhichas denticulatus","Northern wolffish","Seine","high","non-destructive",603810,"Large benthopelagics (>=90 cm)","pelagic"
"925","Cetengraulis mysticetus","Pacific anchoveta","Purse seine Non-tuna","low","non-destructive",600548,"Small pelagics (<30 cm)","pelagic"
"926","Zidona dufresnei","Angulate volute","Dredge","high","destructive",690674,"Other demersal invertebrates","demersal"
"927","Palinurus elephas","Common spiny lobster","Trap","high","non-destructive",690092,"Lobsters, crabs","demersal"
"928","Kyphosus","Sea chubs","Lines Non-tuna","low","non-destructive",500477,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"929","Pleuronectes platessa","European plaice","Seine","high","non-destructive",601342,"Large flatfishes (>=90 cm)","demersal"
"930","Martialia hyadesi","Sevenstar flying squid","Trawl","high","destructive",690354,"Cephalopods","demersal"
"931","Sciaenops ocellatus","Red drum","Seine","high","non-destructive",601191,"Large demersals (>=90 cm)","demersal"
"932","Ilisha africana","West African ilisha","Trawl midwater","high","non-destructive",601625,"Medium pelagics (30 - 89 cm)","pelagic"
"933","Marine fishes not identified","Finfishes","Gillnet","high","non-destructive",100039,"Medium demersals (30 - 89 cm)","demersal"
"934","Hippoglossus stenolepis","Pacific halibut","Longline Non-tuna","high","non-destructive",600514,"Large flatfishes (>=90 cm)","demersal"
"935","Harpadon nehereus","Bombay duck","Trap","high","non-destructive",600260,"Medium benthopelagics (30 - 89 cm)","demersal"
"936","Eleutheronema tetradactylum","Fourfinger threadfin","Lines Non-tuna","low","non-destructive",600340,"Large demersals (>=90 cm)","demersal"
"937","Nibea mitsukurii","Nibe croaker","Purse seine Non-tuna","low","non-destructive",600427,"Medium benthopelagics (30 - 89 cm)","pelagic"
"938","Oncorhynchus tshawytscha","Chinook salmon","Gillnet","high","non-destructive",600244,"Large benthopelagics (>=90 cm)","pelagic"
"939","Patinopecten caurinus","Weathervane scallop","Dredge","high","destructive",690429,"Other demersal invertebrates","demersal"
"940","Pecten yessoensis","Yesso scallop","Other","low","non-destructive",690445,"Other demersal invertebrates","demersal"
"941","Chimaeriformes","Chimaeras","Trawl","high","destructive",300003,"Large rays (>=90 cm)","demersal"
"942","Sarda chiliensis lineolata","Pacific bonito","Gillnet","high","non-destructive",604796,"Large pelagics (>=90 cm)","pelagic"
"943","Coregonus lavaretus","Common whitefish","Trawl","high","destructive",600232,"Medium demersals (30 - 89 cm)","demersal"
"944","Rastrelliger brachysoma","Short mackerel","Gillnet","high","non-destructive",600109,"Medium pelagics (30 - 89 cm)","pelagic"
"945","Oxynotus centrina","Angular roughshark","Lines Non-tuna","low","non-destructive",600718,"Large sharks (>=90 cm)","pelagic"
"946","Jasus verreauxi","Green rock lobster","Trap","high","non-destructive",NA,NA,"demersal"
"947","Chionoecetes","Pacific snow crabs","Trap","high","non-destructive",590065,"Lobsters, crabs","demersal"
"948","Penaeus monodon","Giant tiger prawn","Trawl","high","destructive",690151,"Shrimps","demersal"
"949","Peristediidae","Armored searobins or armored gurnards","Trawl","high","destructive",400581,"Medium bathydemersals (30 - 89 cm)","demersal"
"950","Acetes japonicus","Akiami paste shrimp","Trawl","high","destructive",690005,"Shrimps","demersal"
"951","Leiostomus xanthurus","Spot croaker","Purse seine Non-tuna","low","non-destructive",600429,"Medium demersals (30 - 89 cm)","pelagic"
"952","Penaeidae","Penaeid shrimps","Trawl","high","destructive",490043,"Shrimps","demersal"
"953","Thunnus tonggol","Longtail tuna","Trawl midwater","high","non-destructive",600148,"Large pelagics (>=90 cm)","pelagic"
"954","Nematalosa nasus","Blochs gizzard shad","Purse seine Non-tuna","low","non-destructive",601616,"Small pelagics (<30 cm)","pelagic"
"955","Scomberomorus maculatus","Spanish mackerel","Trap","high","non-destructive",600126,"Medium pelagics (30 - 89 cm)","demersal"
"956","Echinoidea","Sea urchins","Dredge","high","destructive",290011,"Other demersal invertebrates","demersal"
"957","Pomacanthidae","Angelfishes","Trawl","high","destructive",400460,"Small reef assoc. fish (<30 cm)","demersal"
"958","Peprilus paru","American harvestfish","Trawl","high","destructive",628143,"Small benthopelagics (<30 cm)","demersal"
"959","Scomberomorus sierra","Pacific sierra","LonglineTuna","high","non-destructive",600136,"Large pelagics (>=90 cm)","pelagic"
"960","Salvelinus malma malma","Dolly varden","Gillnet","high","non-destructive",602691,"Large benthopelagics (>=90 cm)","pelagic"
"961","Lampris guttatus","Opah","Seine","high","non-destructive",601072,"Large bathypelagics (>=90 cm)","pelagic"
"962","Pagellus erythrinus","Common pandora","Lines Non-tuna","low","non-destructive",600893,"Medium benthopelagics (30 - 89 cm)","pelagic"
"963","Paralabrax humeralis","Peruvian rock seabass","Lines Non-tuna","low","non-destructive",600352,"Medium benthopelagics (30 - 89 cm)","pelagic"
"964","Geryon","Deepsea crabs","Trawl","high","destructive",590067,"Lobsters, crabs","demersal"
"965","Notorynchus cepedianus","Broadnose sevengill shark","Trawl","high","destructive",602531,"Large sharks (>=90 cm)","demersal"
"966","Sardinella gibbosa","Goldstripe sardinella","Purse seine Non-tuna","low","non-destructive",601508,"Small pelagics (<30 cm)","pelagic"
"967","Notothenia rossii","Marbled rockcod","Trawl","high","destructive",600468,"Medium demersals (30 - 89 cm)","demersal"
"968","Nemadactylus","Porae","Gillnet","high","non-destructive",501523,"Medium demersals (30 - 89 cm)","demersal"
"969","Carcharhinidae","Requiem sharks","Trawl","high","destructive",400011,"Large sharks (>=90 cm)","demersal"
"970","Phycis","Gunnels forkbeards","Trawl","high","destructive",509303,"Medium benthopelagics (30 - 89 cm)","demersal"
"971","Limanda limanda","Dab","Trawl","high","destructive",600695,"Small to medium flatfishes (<90 cm)","demersal"
"972","Thunnus tonggol","Longtail tuna","Gillnet","high","non-destructive",600148,"Large pelagics (>=90 cm)","pelagic"
"973","Argyrosomus regius","Meagre","Trawl midwater","high","non-destructive",600418,"Large benthopelagics (>=90 cm)","pelagic"
"974","Thunnus","Tuna","Pole and Line Tuna","low","non-destructive",501905,"Large pelagics (>=90 cm)","pelagic"
"975","Selene dorsalis","African moonfish","Trawl midwater","high","non-destructive",600379,"Small demersals (<30 cm)","pelagic"
"976","Herklotsichthys quadrimaculatus","Bluestripe herring","Trawl midwater","high","non-destructive",601494,"Small pelagics (<30 cm)","pelagic"
"977","Argyrosomus regius","Meagre","Trawl","high","destructive",600418,"Large benthopelagics (>=90 cm)","demersal"
"978","Pandalidae","Norther shrimps","Trap","high","non-destructive",490046,"Shrimps","demersal"
"979","Mactra sachalinensis","Hen clam","Trap","high","non-destructive",690176,"Other demersal invertebrates","demersal"
"980","Dissostichus eleginoides","Patagonian toothfish","Trawl","high","destructive",600467,"Large bathydemersals (>=90 cm)","demersal"
"981","Stenotomus chrysops","Scup","Lines Non-tuna","low","non-destructive",600452,"Medium demersals (30 - 89 cm)","demersal"
"982","Lepidorhombus boscii","Fourspotted megrim","Trawl","high","destructive",600027,"Small to medium flatfishes (<90 cm)","demersal"
"983","Peprilus triacanthus","American butterfish","Trawl","high","destructive",600492,"Small benthopelagics (<30 cm)","demersal"
"984","Geryon","Deepsea crabs","Trap","high","non-destructive",590067,"Lobsters, crabs","demersal"
"985","Cepola macrophthalma","Red bandfish","Trawl","high","destructive",600056,"Medium demersals (30 - 89 cm)","demersal"
"986","Seriolella","Barrelfishes","Lines Non-tuna","low","non-destructive",502004,"Medium benthopelagics (30 - 89 cm)","pelagic"
"987","Lutjanus purpureus","Southern red snapper","Lines Non-tuna","low","non-destructive",600171,"Medium demersals (30 - 89 cm)","demersal"
"988","Choromytilus chorus","Choro mussel","Other","low","non-destructive",690082,"Other demersal invertebrates","demersal"
"989","Cetorhinus maximus","Basking shark","Gillnet","high","non-destructive",600090,"Large sharks (>=90 cm)","pelagic"
